　,PU,*,*,　
、,PU,*,*,、
。,PU,*,*,。
·,CD,AFF,*,·
·,PU,*,*,·
—,PU,*,*,—
——,PU,*,*,——
———,PU,*,*,———
—－,PU,*,*,—－
～,PU,*,*,～
…,PU,*,*,…
……,PU,*,*,……
‘,PU,*,*,‘
’,NT,AFF,*,’
’,PU,*,*,’
“,PU,*,*,“
”,PU,*,*,”
〈,PU,*,*,〈
〉,PU,*,*,〉
《,PU,*,*,《
》,PU,*,*,》
「,PU,*,*,「
」,PU,*,*,」
『,PU,*,*,『
』,PU,*,*,』
×,PU,*,*,×
∶,NT,AFF,*,∶
∶,PU,*,*,∶
○,CD,NOR,*,○
○○,NR,LOC,*,○○
！,PU,*,*,！
＂,PU,*,*,＂
￥,NN,*,*,￥
％,CD,AFF,*,％
＆,CC,*,*,＆
＇,PU,*,*,＇
（,PU,*,*,（
（百加木旁）秋,NR,PER,GIV,（百加木旁）秋
（圭加王旁）（丙加日旁）,NR,PER,GIV,（圭加王旁）（丙加日旁）
（金旁加容）基,NR,PER,GIV,（金旁加容）基
（佩去亻加王旁）云,NR,PER,GIV,（佩去亻加王旁）云
（容加金旁）基,NR,PER,GIV,（容加金旁）基
）,PU,*,*,）
＊,PU,*,*,＊
，,PU,*,*,，
－,NT,AFF,*,－
－,PU,*,*,－
－－,PU,*,*,－－
－－－－,PU,*,*,－－－－
．,CD,AFF,*,．
．,NT,AFF,*,．
．,PU,*,*,．
／,PU,*,*,／
／／,PU,*,*,／／
０,CD,NOR,*,０
１,CD,NOR,*,１
２,CD,NOR,*,２
３,CD,NOR,*,３
４,CD,NOR,*,４
５,CD,NOR,*,５
６,CD,NOR,*,６
７,CD,NOR,*,７
８,CD,NOR,*,８
９,CD,NOR,*,９
：,PU,*,*,：
；,PU,*,*,；
＜,PU,*,*,＜
＝,VV,*,*,＝
＞,PU,*,*,＞
？,PU,*,*,？
Ａ,FW,*,*,Ａ
Ｂ,FW,*,*,Ｂ
Ｃ,FW,*,*,Ｃ
Ｄ,FW,*,*,Ｄ
Ｅ,FW,*,*,Ｅ
Ｆ,FW,*,*,Ｆ
Ｇ,FW,*,*,Ｇ
Ｈ,FW,*,*,Ｈ
Ｉ,FW,*,*,Ｉ
Ｊ,FW,*,*,Ｊ
Ｋ,FW,*,*,Ｋ
Ｌ,FW,*,*,Ｌ
Ｍ,FW,*,*,Ｍ
Ｎ,FW,*,*,Ｎ
Ｏ,FW,*,*,Ｏ
